player_full_name,player_team,opposition_team,margin,round,fantasy_points,fantasy_lag_1,fantasy_lag_2,fantasy_lag_3,fantasy_lag_4,fantasy_lag_5,fantasy_lag_6,fantasy_lag_7,fantasy_lag_8,fantasy_lag_9,fantasy_lag_10,home_game,last_3_avg,last_5_avg,last_7_avg,season_avg,dvp,percentage_over_avg
Bailey Humphrey,Gold Coast Suns,Port Adelaide,-33,Round 17,52,45,36,75,68,72,90,94,66,29,47,0,52,59.2,68.57142857142857,62.2,1.52,50
Bailey Humphrey,Gold Coast Suns,St Kilda,26,Round 18,46,52,45,36,75,68,72,90,94,66,29,1,44.333333333333336,55.2,62.57142857142857,61.27272727272727,1.46,51.28
Bailey Humphrey,Gold Coast Suns,GWS Giants,-40,Round 19,11,46,52,45,36,75,68,72,90,94,66,0,47.666666666666664,50.8,56.285714285714285,60,1.7,56.25
Bailey Humphrey,Gold Coast Suns,Brisbane Lions,41,Round 20,47,11,46,52,45,36,75,68,72,90,94,1,36.333333333333336,38,47.57142857142857,56.23076923076923,-1.41,50
Bailey J. Williams,West Coast Eagles,Essendon,-50,Round 11,85,104,63,94,61,101,56,79,59,51,70,1,87,84.6,79.71428571428571,73.8,-10.67,30
Bailey J. Williams,West Coast Eagles,Collingwood,-63,Round 12,87,85,104,63,94,61,101,56,79,59,51,1,84,81.4,80.57142857142857,74.81818181818181,2.18,60
Bailey J. Williams,West Coast Eagles,Adelaide Crows,-122,Round 13,101,87,85,104,63,94,61,101,56,79,59,0,92,86.6,85,75.83333333333333,-2.26,36.36
Bailey J. Williams,West Coast Eagles,Sydney Swans,-171,Round 15,83,101,87,85,104,63,94,61,101,56,79,0,91,88,85,77.76923076923077,9.4,66.67
Bailey J. Williams,West Coast Eagles,St Kilda,-8,Round 16,121,83,101,87,85,104,63,94,61,101,56,1,90.33333333333333,92,88.14285714285714,78.14285714285714,1.59,40
Bailey J. Williams,West Coast Eagles,Brisbane Lions,-81,Round 17,69,121,83,101,87,85,104,63,94,61,101,0,101.66666666666667,95.4,92,81,-8.65,20
Bailey J. Williams,West Coast Eagles,Richmond,-38,Round 18,67,69,121,83,101,87,85,104,63,94,61,1,91,92.2,92.85714285714286,80.25,-0.31,55.56
Bailey J. Williams,West Coast Eagles,Carlton,-71,Round 19,85,67,69,121,83,101,87,85,104,63,94,0,85.66666666666667,88.2,87.57142857142857,79.47058823529412,-5.35,45.45
Bailey J. Williams,West Coast Eagles,North Melbourne,5,Round 20,104,85,67,69,121,83,101,87,85,104,63,1,73.66666666666667,85,87.57142857142857,79.77777777777777,-17,11.11
Bailey Scott,North Melbourne,Collingwood,-35,Round 11,101,121,81,59,67,51,56,65,58,61,76,0,87,75.8,71.42857142857143,69.5,-2.27,50
Bailey Scott,North Melbourne,Essendon,-6,Round 12,80,101,121,81,59,67,51,56,65,58,61,0,101,85.8,76.57142857142857,72.36363636363636,7.29,58.62
Bailey Scott,North Melbourne,GWS Giants,-28,Round 13,92,80,101,121,81,59,67,51,56,65,58,1,100.66666666666667,88.4,80,73,-7.2,33.33
Bailey Scott,North Melbourne,Western Bulldogs,-21,Round 14,83,92,80,101,121,81,59,67,51,56,65,1,91,95,85.85714285714286,74.46153846153847,-1.67,50
Bailey Scott,North Melbourne,Adelaide Crows,-66,Round 16,104,83,92,80,101,121,81,59,67,51,56,0,85,95.4,88.14285714285714,75.07142857142857,-2.99,47.62
Bailey Scott,North Melbourne,Geelong Cats,-62,Round 17,98,104,83,92,80,101,121,81,59,67,51,0,93,92,94.57142857142857,77,2.16,59.09
Bailey Scott,North Melbourne,Hawthorn,-48,Round 18,136,98,104,83,92,80,101,121,81,59,67,1,95,91.4,97,78.3125,0.84,53.12
Bailey Scott,North Melbourne,St Kilda,-8,Round 19,55,136,98,104,83,92,80,101,121,81,59,0,112.66666666666667,102.6,99.14285714285714,81.70588235294117,11.81,90
Bailey Scott,North Melbourne,West Coast Eagles,-5,Round 20,94,55,136,98,104,83,92,80,101,121,81,0,96.33333333333333,95.2,92.57142857142857,80.22222222222223,-7.51,33.33
Bailey Smith,Western Bulldogs,Port Adelaide,-22,Round 13,81,90,67,121,102,105,90,83,71,105,96,1,92.66666666666667,97,94,93,-7.8,35.9
Bailey Smith,Western Bulldogs,North Melbourne,21,Round 14,78,81,90,67,121,102,105,90,83,71,105,0,79.33333333333333,92.2,93.71428571428571,91.9090909090909,1.06,54.84
Bailey Smith,Western Bulldogs,Fremantle,29,Round 16,51,78,81,90,67,121,102,105,90,83,71,1,83,87.4,92,90.75,1.99,55.26
Bailey Smith,Western Bulldogs,Collingwood,-12,Round 17,43,51,78,81,90,67,121,102,105,90,83,1,70,73.4,84.28571428571429,87.6923076923077,-6.62,45.45
Bailey Smith,Western Bulldogs,Essendon,41,Round 19,114,43,51,78,81,90,67,121,102,105,90,0,57.333333333333336,68.6,75.85714285714286,84.5,0.35,55.88
Bailey Smith,Western Bulldogs,GWS Giants,-5,Round 20,69,114,43,51,78,81,90,67,121,102,105,1,69.33333333333333,73.4,74.85714285714286,86.46666666666667,0.39,48.78
Bailey Williams,Western Bulldogs,Gold Coast Suns,-7,Round 11,75,100,108,70,93,95,39,71,74,67,62,0,92.66666666666667,93.2,82.28571428571429,77.9,4.49,62.5
