player_full_name,player_team,opposition_team,margin,round,fantasy_points,fantasy_lag_1,fantasy_lag_2,fantasy_lag_3,fantasy_lag_4,fantasy_lag_5,fantasy_lag_6,fantasy_lag_7,fantasy_lag_8,fantasy_lag_9,fantasy_lag_10,home_game,last_3_avg,last_5_avg,last_7_avg,season_avg,dvp,percentage_over_avg
Alex Witherden,West Coast Eagles,Brisbane Lions,-81,Round 17,105,131,47,49,101,60,125,106,68,71,79,0,75.66666666666667,77.6,88.42857142857143,79.53846153846153,4.05,51.22
Alex Witherden,West Coast Eagles,Richmond,-38,Round 18,83,105,131,47,49,101,60,125,106,68,71,1,94.33333333333333,86.6,88.28571428571429,81.35714285714286,4.18,51.43
Alex Witherden,West Coast Eagles,Carlton,-71,Round 19,103,83,105,131,47,49,101,60,125,106,68,0,106.33333333333333,83,82.28571428571429,81.46666666666667,5.37,48.39
Alex Witherden,West Coast Eagles,North Melbourne,5,Round 20,48,103,83,105,131,47,49,101,60,125,106,1,97,93.8,88.42857142857143,82.8125,7.67,62.86
Aliir Aliir,Port Adelaide,Richmond,10,Round 11,53,29,40,33,36,46,58,63,68,34,62,0,34,36.8,43.57142857142857,46.9,2.01,44.44
Aliir Aliir,Port Adelaide,Hawthorn,55,Round 12,58,53,29,40,33,36,46,58,63,68,34,1,40.666666666666664,38.2,42.142857142857146,47.45454545454545,1.8,66.67
Aliir Aliir,Port Adelaide,Western Bulldogs,22,Round 13,58,58,53,29,40,33,36,46,58,63,68,0,46.666666666666664,42.6,42.142857142857146,48.333333333333336,4.5,50
Aliir Aliir,Port Adelaide,Geelong Cats,38,Round 14,84,58,58,53,29,40,33,36,46,58,63,1,56.333333333333336,47.6,43.857142857142854,49.07692307692308,-5.63,33.33
Aliir Aliir,Port Adelaide,Essendon,4,Round 16,40,84,58,58,53,29,40,33,36,46,58,0,66.66666666666667,56.4,50.714285714285715,51.57142857142857,-7.41,36.36
Aliir Aliir,Port Adelaide,Gold Coast Suns,33,Round 17,50,40,84,58,58,53,29,40,33,36,46,1,60.666666666666664,58.6,51.714285714285715,50.8,-3,40
Aliir Aliir,Port Adelaide,Carlton,-50,Round 18,42,50,40,84,58,58,53,29,40,33,36,0,58,58,53.142857142857146,50.75,-7.87,22.73
Aliir Aliir,Port Adelaide,Collingwood,-2,Round 19,35,42,50,40,84,58,58,53,29,40,33,1,44,54.8,55,50.23529411764706,6.96,70
Aliir Aliir,Port Adelaide,Adelaide Crows,-47,Round 20,52,35,42,50,40,84,58,58,53,29,40,0,42.333333333333336,50.2,52.42857142857143,49.388888888888886,1.81,45
Andrew Brayshaw,Fremantle,Melbourne,7,Round 11,103,135,105,157,113,99,72,108,90,122,114,0,132.33333333333334,121.8,112.71428571428571,111.5,1.26,55.81
Andrew Brayshaw,Fremantle,Richmond,-15,Round 13,100,103,135,105,157,113,99,72,108,90,122,1,114.33333333333333,122.6,112,110.72727272727273,3.15,48.65
Andrew Brayshaw,Fremantle,GWS Giants,-70,Round 14,109,100,103,135,105,157,113,99,72,108,90,0,112.66666666666667,120,116,109.83333333333333,2.14,51.22
Andrew Brayshaw,Fremantle,Essendon,32,Round 15,129,109,100,103,135,105,157,113,99,72,108,1,104,110.4,117.42857142857143,109.76923076923077,-0.08,40.62
Andrew Brayshaw,Fremantle,Western Bulldogs,-29,Round 16,102,129,109,100,103,135,105,157,113,99,72,0,112.66666666666667,115.2,119.71428571428571,111.14285714285714,-2.17,47.06
Andrew Brayshaw,Fremantle,Carlton,-53,Round 17,97,102,129,109,100,103,135,105,157,113,99,1,113.33333333333333,108.6,111.85714285714286,110.53333333333333,1.16,56.67
