player_full_name,player_team,opposition_team,round,season,home_game,last_3_avg,last_3_min,last_3_max,last_3_variance,last_5_avg,last_5_min,last_5_max,last_5_variance,last_7_avg,last_7_min,last_7_max,last_7_variance,last_10_avg,last_10_min,last_10_max,last_10_variance,dvp_5,percentage_over_avg_5,dvp_10,percentage_over_avg_10,dvp_15,percentage_over_avg_15
Aaron Francis,Essendon,GWS Giants,Round 23,2023,0,46.333333333333336,36,56,100.33333333333333,41.4,26,56,127.8,45,26,58,128.33333333333334,47.4,26,75,181.37777777777777,-4.41,35.29,-1.69,46.51,0.52,49.18
Aaron Francis,Sydney Swans,Adelaide Crows,Round 23,2023,0,46.333333333333336,36,56,100.33333333333333,41.4,26,56,127.8,45,26,58,128.33333333333334,47.4,26,75,181.37777777777777,3.58,53.85,-1.04,39.47,-2.89,35.94
Aaron Hall,North Melbourne,Richmond,Round 23,2023,0,86.66666666666667,59,105,594.3333333333334,94,59,136,878.5,95.14285714285714,59,136,664.4761904761905,100.6,59,136,582.7111111111111,-5.65,43.75,-5.67,37.93,-1.78,46.67
Aaron Naughton,Western Bulldogs,West Coast Eagles,Round 23,2023,1,55.333333333333336,45,70,170.33333333333334,69.6,45,99,498.8,70.28571428571429,45,99,360.9047619047619,65.7,35,99,362.6777777777778,16.91,81.82,10.68,65.52,10.91,66.67
Adam Cerra,Carlton,Gold Coast Suns,Round 23,2023,0,95.33333333333333,62,114,837.3333333333334,98,62,122,632,98.71428571428571,62,122,459.57142857142856,100.2,62,130,608.1777777777778,-10.7,27.27,-6.16,23.81,-4.8,35.48
Adam Cerra,Fremantle,Port Adelaide,Round 23,2023,1,95.33333333333333,62,114,837.3333333333334,98,62,122,632,98.71428571428571,62,122,459.57142857142856,100.2,62,130,608.1777777777778,-6.28,40,-5.09,43.48,-7.23,22.58
Adam Kennedy,GWS Giants,Essendon,Round 23,2023,1,22.333333333333332,14,34,108.33333333333333,33.4,14,52,285.8,44.142857142857146,14,74,530.1428571428571,44.7,14,74,374.4555555555556,1.54,55.56,-0.79,39.53,-0.69,53.12
Adam Saad,Carlton,Gold Coast Suns,Round 23,2023,0,71,44,104,927,68.2,44,104,562.7,73.71428571428571,44,104,465.9047619047619,71.6,44,104,341.3777777777778,7.06,60,5.65,64.1,1.86,50
Adam Tomlinson,Melbourne,Hawthorn,Round 23,2023,1,50.333333333333336,19,86,1136.3333333333333,50.4,19,86,646.3,53.42857142857143,19,86,604.6190476190476,53.1,19,86,418.1,4.74,50,8.52,72.22,5.35,61.29
Adam Treloar,Western Bulldogs,West Coast Eagles,Round 23,2023,1,104.33333333333333,72,134,966.3333333333334,100.8,72,134,512.7,98.57142857142857,72,134,464.2857142857143,104.3,72,134,420.4555555555556,-2.99,50,2.25,52.17,5.03,51.43
Aidan Corr,North Melbourne,Richmond,Round 23,2023,0,51.666666666666664,32,82,710.3333333333334,67,32,102,868,63.857142857142854,32,102,628.8095238095239,62.5,32,102,436.5,-1.84,37.5,-4.55,27.78,-1.32,39.29
Aiden Bonar,North Melbourne,Richmond,Round 23,2023,0,44.333333333333336,28,58,230.33333333333334,47.4,28,58,133.3,43.714285714285715,27,58,147.23809523809524,39.3,22,58,158.23333333333332,0.44,46.67,-1.55,40.62,0.66,48.28
Alec Waterman,Essendon,GWS Giants,Round 23,2023,0,37.666666666666664,26,50,144.33333333333334,45.2,26,65,214.7,44.57142857142857,26,65,177.61904761904762,47.4,26,81,295.3777777777778,-4.41,35.29,-1.69,46.51,0.52,49.18
Alex Cincotta,Carlton,Gold Coast Suns,Round 23,2023,0,61,58,66,19,54.8,31,66,186.7,48.142857142857146,24,66,272.4761904761905,47.1,24,66,202.32222222222222,5.26,71.43,2.81,51.61,4.31,55
Alex Davies,Gold Coast Suns,Carlton,Round 23,2023,1,52.333333333333336,50,56,10.333333333333334,54.6,46,70,86.8,52,35,70,114.33333333333333,51,35,70,144.66666666666666,1.73,60,0.97,57.14,2.3,63.64
Alex Keath,Western Bulldogs,West Coast Eagles,Round 23,2023,1,50.666666666666664,46,58,41.333333333333336,50,46,58,21.5,52.285714285714285,46,61,32.57142857142857,50.3,41,61,43.56666666666667,13.04,90,6.57,65,2.96,51.72
Alex Neal-Bullen,Melbourne,Hawthorn,Round 23,2023,1,84.33333333333333,65,98,296.3333333333333,75,55,98,329.5,71.42857142857143,55,98,258.95238095238096,70.9,55,98,195.65555555555557,-6.89,35.71,-3.1,44.74,-1.81,47.37
Alex Pearce,Fremantle,Port Adelaide,Round 23,2023,1,51,24,76,679,50.2,24,76,341.2,47.857142857142854,24,76,270.4761904761905,42.4,15,76,343.3777777777778,-12.45,14.29,-9.3,26.32,-4.99,35.48
Alex Sexton,Gold Coast Suns,Carlton,Round 23,2023,1,50,27,93,1389,40,12,93,966.5,51.285714285714285,12,98,1129.904761904762,54.8,12,98,922.8444444444444,-4.29,27.27,-0.37,42.42,-1.89,44.26
Alex Witherden,West Coast Eagles,Western Bulldogs,Round 23,2023,0,81.66666666666667,48,106,906.3333333333334,86.2,48,106,541.7,95.28571428571429,48,131,658.2380952380952,86.4,47,131,851.8222222222222,5.69,57.89,1.15,52.94,-0.38,47.06
